CourseInstance,StudentId,Status,Grade,CompKey22
I-1494,19860309-0002,completed,3.0,R_I-1494_19860309-0002
I-3997,19860309-0002,completed,4.0,R_I-3997_19860309-0002
I-658,19860309-0002,completed,3.0,R_I-658_19860309-0002
I-1499,19860309-0002,completed,4.0,R_I-1499_19860309-0002
I-1496,19860309-0002,completed,4.0,R_I-1496_19860309-0002
I-433,19860309-0002,completed,3.0,R_I-433_19860309-0002
I-1500,19860309-0002,completed,4.0,R_I-1500_19860309-0002
I-1289,19860309-0002,completed,4.0,R_I-1289_19860309-0002
I-1074,19860309-0002,completed,4.0,R_I-1074_19860309-0002
I-1607,19860309-0002,completed,3.0,R_I-1607_19860309-0002
I-871,19860309-0002,completed,3.0,R_I-871_19860309-0002
I-1608,19860309-0002,completed,5.0,R_I-1608_19860309-0002
I-3697,19860309-0002,completed,5.0,R_I-3697_19860309-0002
I-1922,19850305-0003,completed,5.0,R_I-1922_19850305-0003
I-1199,19850305-0003,completed,5.0,R_I-1199_19850305-0003
I-1924,19850305-0003,completed,3.0,R_I-1924_19850305-0003
I-2658,19850305-0003,completed,3.0,R_I-2658_19850305-0003
I-2037,19850305-0003,completed,5.0,R_I-2037_19850305-0003
I-2038,19850305-0003,completed,5.0,R_I-2038_19850305-0003
I-2040,19850305-0003,completed,3.0,R_I-2040_19850305-0003
I-2041,19850305-0003,completed,4.0,R_I-2041_19850305-0003
I-2039,19850305-0003,completed,5.0,R_I-2039_19850305-0003
I-2044,19850305-0003,completed,5.0,R_I-2044_19850305-0003
I-2993,19850305-0003,completed,4.0,R_I-2993_19850305-0003
I-5074,19850305-0003,completed,5.0,R_I-5074_19850305-0003
I-1204,19850305-0003,completed,3.0,R_I-1204_19850305-0003
I-2042,19850305-0003,completed,3.0,R_I-2042_19850305-0003
I-2156,19850305-0003,completed,3.0,R_I-2156_19850305-0003
I-2157,19850305-0003,completed,5.0,R_I-2157_19850305-0003
I-2159,19850305-0003,completed,4.0,R_I-2159_19850305-0003
I-153,19850305-0003,completed,3.0,R_I-153_19850305-0003
I-4834,19860211-0004,completed,5.0,R_I-4834_19860211-0004
I-2956,19860211-0004,completed,5.0,R_I-2956_19860211-0004
I-4623,19860211-0004,completed,3.0,R_I-4623_19860211-0004
I-2119,19860211-0004,completed,5.0,R_I-2119_19860211-0004
I-2957,19860211-0004,completed,3.0,R_I-2957_19860211-0004
I-1385,19860211-0004,completed,4.0,R_I-1385_19860211-0004
I-2966,19860211-0004,completed,3.0,R_I-2966_19860211-0004
I-2965,19860211-0004,completed,5.0,R_I-2965_19860211-0004
I-2964,19860211-0004,completed,4.0,R_I-2964_19860211-0004
I-1694,19860211-0004,completed,4.0,R_I-1694_19860211-0004
I-3576,19880122-0005,completed,5.0,R_I-3576_19880122-0005
I-3578,19880122-0005,completed,3.0,R_I-3578_19880122-0005
I-327,19880122-0005,completed,5.0,R_I-327_19880122-0005
I-3582,19880122-0005,completed,4.0,R_I-3582_19880122-0005
I-4011,19880122-0005,completed,4.0,R_I-4011_19880122-0005
I-342,19880122-0005,completed,3.0,R_I-342_19880122-0005
I-238,19880122-0005,completed,5.0,R_I-238_19880122-0005
I-1923,19880122-0005,completed,3.0,R_I-1923_19880122-0005
I-2636,19850603-0006,completed,3.0,R_I-2636_19850603-0006
I-2637,19850603-0006,completed,3.0,R_I-2637_19850603-0006
I-2638,19850603-0006,completed,5.0,R_I-2638_19850603-0006
I-4941,19850603-0006,completed,3.0,R_I-4941_19850603-0006
I-2233,19850603-0006,completed,4.0,R_I-2233_19850603-0006
I-2756,19850603-0006,completed,4.0,R_I-2756_19850603-0006
I-2759,19850603-0006,completed,3.0,R_I-2759_19850603-0006
I-2761,19850603-0006,completed,3.0,R_I-2761_19850603-0006
I-5166,19860222-0007,completed,5.0,R_I-5166_19860222-0007
I-2447,19860222-0007,completed,3.0,R_I-2447_19860222-0007
I-3786,19860222-0007,completed,4.0,R_I-3786_19860222-0007
I-1606,19860222-0007,completed,4.0,R_I-1606_19860222-0007
I-5378,19860222-0007,completed,5.0,R_I-5378_19860222-0007
I-3897,19860222-0007,completed,5.0,R_I-3897_19860222-0007
I-3899,19860222-0007,completed,4.0,R_I-3899_19860222-0007
I-4226,19860222-0007,completed,3.0,R_I-4226_19860222-0007
I-4015,19860222-0007,completed,3.0,R_I-4015_19860222-0007
I-4016,19860222-0007,completed,3.0,R_I-4016_19860222-0007
I-4018,19860222-0007,completed,3.0,R_I-4018_19860222-0007
I-4324,19860222-0007,completed,3.0,R_I-4324_19860222-0007
I-4017,19860222-0007,completed,3.0,R_I-4017_19860222-0007
I-4024,19860222-0007,completed,4.0,R_I-4024_19860222-0007
I-1100,19860222-0007,completed,5.0,R_I-1100_19860222-0007
I-4020,19860222-0007,completed,3.0,R_I-4020_19860222-0007
I-5179,19860222-0007,completed,5.0,R_I-5179_19860222-0007
I-5,19861018-0009,completed,5.0,R_I-5_19861018-0009
I-3993,19861018-0009,completed,3.0,R_I-3993_19861018-0009
I-5360,19861018-0009,completed,4.0,R_I-5360_19861018-0009
I-5359,19861018-0009,completed,5.0,R_I-5359_19861018-0009
I-535,19860829-0010,completed,5.0,R_I-535_19860829-0010
I-5255,19860829-0010,completed,4.0,R_I-5255_19860829-0010
I-960,19860829-0010,completed,5.0,R_I-960_19860829-0010
I-5257,19860829-0010,completed,4.0,R_I-5257_19860829-0010
I-3891,19860829-0010,completed,5.0,R_I-3891_19860829-0010
I-5368,19860829-0010,completed,4.0,R_I-5368_19860829-0010
I-5369,19860829-0010,completed,3.0,R_I-5369_19860829-0010
I-1182,19860829-0010,completed,3.0,R_I-1182_19860829-0010
I-1058,19850527-0011,completed,5.0,R_I-1058_19850527-0011
I-1059,19850527-0011,completed,3.0,R_I-1059_19850527-0011
I-1490,19850527-0011,completed,5.0,R_I-1490_19850527-0011
I-2638,19850527-0011,completed,4.0,R_I-2638_19850527-0011
I-4732,19850527-0011,completed,3.0,R_I-4732_19850527-0011
I-1069,19850527-0011,completed,3.0,R_I-1069_19850527-0011
I-323,19850527-0011,completed,5.0,R_I-323_19850527-0011
I-1389,19850527-0011,completed,5.0,R_I-1389_19850527-0011
I-1067,19850527-0011,completed,5.0,R_I-1067_19850527-0011
I-4835,19850527-0011,completed,5.0,R_I-4835_19850527-0011
