CourseCode,TeacherId,ReportedHours,AssignedHours,CompKey
I-1,19620522-0023,227.0,240.0,TEAS_I-1_19620522-0023
I-1,19790708-0041,115.0,100.0,TEAS_I-1_19790708-0041
I-1,19930221-0139,157.0,140.0,TEAS_I-1_19930221-0139
I-2,19690408-0009,281.0,280.0,TEAS_I-2_19690408-0009
I-2,19750220-0037,115.0,100.0,TEAS_I-2_19750220-0037
I-2,19921201-0094,112.0,100.0,TEAS_I-2_19921201-0094
I-3,19570826-0012,253.0,240.0,TEAS_I-3_19570826-0012
I-3,19790702-0038,146.0,140.0,TEAS_I-3_19790702-0038
I-4,19690513-0015,224.0,240.0,TEAS_I-4_19690513-0015
I-4,19750705-0033,135.0,140.0,TEAS_I-4_19750705-0033
I-5,19610623-0005,248.0,260.0,TEAS_I-5_19610623-0005
I-5,19780424-0057,140.0,140.0,TEAS_I-5_19780424-0057
I-5,19920206-0072,100.0,100.0,TEAS_I-5_19920206-0072
I-6,19640220-0029,228.0,240.0,TEAS_I-6_19640220-0029
I-6,19790618-0048,128.0,120.0,TEAS_I-6_19790618-0048
I-6,19910927-0128,157.0,140.0,TEAS_I-6_19910927-0128
I-7,19630126-0001,221.0,240.0,TEAS_I-7_19630126-0001
I-7,19790702-0038,157.0,140.0,TEAS_I-7_19790702-0038
I-7,19910214-0084,101.0,120.0,TEAS_I-7_19910214-0084
I-8,19620831-0024,235.0,240.0,TEAS_I-8_19620831-0024
I-8,19760108-0050,89.0,100.0,TEAS_I-8_19760108-0050
I-8,19931231-0099,107.0,100.0,TEAS_I-8_19931231-0099
I-9,19570826-0012,246.0,260.0,TEAS_I-9_19570826-0012
I-9,19760524-0046,116.0,120.0,TEAS_I-9_19760524-0046
I-10,19600814-0002,252.0,240.0,TEAS_I-10_19600814-0002
I-10,19780424-0057,84.0,100.0,TEAS_I-10_19780424-0057
I-10,19911116-0069,157.0,140.0,TEAS_I-10_19911116-0069
I-11,19620522-0023,241.0,260.0,TEAS_I-11_19620522-0023
I-11,19750220-0037,140.0,140.0,TEAS_I-11_19750220-0037
I-11,19930709-0100,141.0,140.0,TEAS_I-11_19930709-0100
I-12,19640220-0029,265.0,280.0,TEAS_I-12_19640220-0029
I-12,19790708-0041,109.0,100.0,TEAS_I-12_19790708-0041
I-13,19570615-0011,255.0,240.0,TEAS_I-13_19570615-0011
I-13,19771013-0040,146.0,140.0,TEAS_I-13_19771013-0040
I-14,19620831-0024,272.0,260.0,TEAS_I-14_19620831-0024
I-14,19750417-0051,136.0,120.0,TEAS_I-14_19750417-0051
I-15,19590129-0004,251.0,260.0,TEAS_I-15_19590129-0004
I-15,19750906-0032,113.0,120.0,TEAS_I-15_19750906-0032
I-16,19620831-0024,254.0,240.0,TEAS_I-16_19620831-0024
I-16,19780317-0052,103.0,100.0,TEAS_I-16_19780317-0052
I-17,19610620-0006,225.0,240.0,TEAS_I-17_19610620-0006
I-17,19790717-0045,123.0,140.0,TEAS_I-17_19790717-0045
I-18,19590129-0004,276.0,260.0,TEAS_I-18_19590129-0004
I-18,19781130-0054,117.0,120.0,TEAS_I-18_19781130-0054
I-18,19920206-0072,136.0,140.0,TEAS_I-18_19920206-0072
I-19,19561222-0030,239.0,240.0,TEAS_I-19_19561222-0030
I-19,19780602-0035,108.0,100.0,TEAS_I-19_19780602-0035
I-19,19900211-0140,104.0,120.0,TEAS_I-19_19900211-0140
I-20,19640414-0013,265.0,280.0,TEAS_I-20_19640414-0013
I-20,19781217-0053,143.0,140.0,TEAS_I-20_19781217-0053
I-20,19900902-0114,123.0,140.0,TEAS_I-20_19900902-0114
I-21,19620424-0026,268.0,280.0,TEAS_I-21_19620424-0026
I-21,19780317-0052,110.0,100.0,TEAS_I-21_19780317-0052
I-21,19931231-0099,121.0,140.0,TEAS_I-21_19931231-0099
I-22,19601021-0018,255.0,260.0,TEAS_I-22_19601021-0018
I-22,19750722-0060,152.0,140.0,TEAS_I-22_19750722-0060
I-22,19920217-0098,125.0,120.0,TEAS_I-22_19920217-0098
I-23,19680712-0028,240.0,260.0,TEAS_I-23_19680712-0028
I-23,19760524-0046,120.0,100.0,TEAS_I-23_19760524-0046
I-24,19610623-0005,299.0,280.0,TEAS_I-24_19610623-0005
I-24,19750122-0056,109.0,100.0,TEAS_I-24_19750122-0056
I-24,19921127-0120,144.0,140.0,TEAS_I-24_19921127-0120
I-25,19560812-0016,260.0,240.0,TEAS_I-25_19560812-0016
I-25,19761020-0044,122.0,120.0,TEAS_I-25_19761020-0044
I-25,19920122-0065,84.0,100.0,TEAS_I-25_19920122-0065
I-26,19680712-0028,297.0,280.0,TEAS_I-26_19680712-0028
I-26,19781130-0054,132.0,140.0,TEAS_I-26_19781130-0054
I-27,19610620-0006,297.0,280.0,TEAS_I-27_19610620-0006
I-27,19750906-0032,140.0,120.0,TEAS_I-27_19750906-0032
I-28,19620522-0023,265.0,260.0,TEAS_I-28_19620522-0023
I-28,19781130-0054,119.0,100.0,TEAS_I-28_19781130-0054
I-28,19921002-0129,124.0,140.0,TEAS_I-28_19921002-0129
I-29,19560812-0016,245.0,260.0,TEAS_I-29_19560812-0016
I-29,19751018-0039,109.0,100.0,TEAS_I-29_19751018-0039
I-29,19901029-0071,106.0,120.0,TEAS_I-29_19901029-0071
I-30,19600814-0002,287.0,280.0,TEAS_I-30_19600814-0002
I-30,19790426-0049,147.0,140.0,TEAS_I-30_19790426-0049
I-31,19560705-0025,250.0,260.0,TEAS_I-31_19560705-0025
I-31,19790702-0038,108.0,120.0,TEAS_I-31_19790702-0038
I-31,19900701-0113,156.0,140.0,TEAS_I-31_19900701-0113
I-32,19610918-0027,298.0,280.0,TEAS_I-32_19610918-0027
I-32,19761024-0034,96.0,100.0,TEAS_I-32_19761024-0034
I-33,19660630-0020,227.0,240.0,TEAS_I-33_19660630-0020
I-33,19781217-0053,119.0,120.0,TEAS_I-33_19781217-0053
I-34,19660630-0020,254.0,260.0,TEAS_I-34_19660630-0020
I-34,19750331-0036,115.0,120.0,TEAS_I-34_19750331-0036
I-35,19690408-0009,271.0,280.0,TEAS_I-35_19690408-0009
I-35,19770713-0042,100.0,100.0,TEAS_I-35_19770713-0042
I-36,19601021-0018,261.0,260.0,TEAS_I-36_19601021-0018
I-36,19790618-0048,114.0,100.0,TEAS_I-36_19790618-0048
I-37,19680712-0028,272.0,260.0,TEAS_I-37_19680712-0028
I-37,19790618-0048,84.0,100.0,TEAS_I-37_19790618-0048
I-38,19610623-0005,273.0,280.0,TEAS_I-38_19610623-0005
I-38,19781125-0031,118.0,100.0,TEAS_I-38_19781125-0031
I-39,19600529-0021,258.0,260.0,TEAS_I-39_19600529-0021
I-39,19761024-0034,136.0,120.0,TEAS_I-39_19761024-0034
I-39,19921123-0108,102.0,100.0,TEAS_I-39_19921123-0108
I-40,19680712-0028,242.0,260.0,TEAS_I-40_19680712-0028
I-40,19750417-0051,133.0,120.0,TEAS_I-40_19750417-0051
I-41,19590129-0004,277.0,260.0,TEAS_I-41_19590129-0004
I-41,19750122-0056,138.0,140.0,TEAS_I-41_19750122-0056
I-41,19920826-0088,116.0,100.0,TEAS_I-41_19920826-0088
I-42,19600529-0021,272.0,260.0,TEAS_I-42_19600529-0021
I-42,19781217-0053,114.0,120.0,TEAS_I-42_19781217-0053
I-43,19611219-0014,241.0,260.0,TEAS_I-43_19611219-0014
I-43,19750705-0033,153.0,140.0,TEAS_I-43_19750705-0033
I-43,19930512-0117,119.0,120.0,TEAS_I-43_19930512-0117
I-44,19611219-0014,267.0,280.0,TEAS_I-44_19611219-0014
I-44,19780815-0047,139.0,140.0,TEAS_I-44_19780815-0047
I-45,19640414-0013,224.0,240.0,TEAS_I-45_19640414-0013
I-45,19750331-0036,93.0,100.0,TEAS_I-45_19750331-0036
I-45,19910403-0131,104.0,100.0,TEAS_I-45_19910403-0131
I-46,19650303-0019,280.0,260.0,TEAS_I-46_19650303-0019
I-46,19750331-0036,103.0,120.0,TEAS_I-46_19750331-0036
I-47,19690513-0015,278.0,280.0,TEAS_I-47_19690513-0015
I-47,19780815-0047,121.0,140.0,TEAS_I-47_19780815-0047
I-48,19600814-0002,284.0,280.0,TEAS_I-48_19600814-0002
I-48,19751018-0039,120.0,120.0,TEAS_I-48_19751018-0039
I-49,19560612-0010,291.0,280.0,TEAS_I-49_19560612-0010
I-49,19770224-0058,87.0,100.0,TEAS_I-49_19770224-0058
I-49,19930616-0127,149.0,140.0,TEAS_I-49_19930616-0127
I-50,19560612-0010,250.0,260.0,TEAS_I-50_19560612-0010
I-50,19750102-0059,133.0,140.0,TEAS_I-50_19750102-0059
I-51,19560705-0025,240.0,260.0,TEAS_I-51_19560705-0025
I-51,19761009-0055,121.0,120.0,TEAS_I-51_19761009-0055
I-52,19610918-0027,259.0,260.0,TEAS_I-52_19610918-0027
I-52,19790426-0049,87.0,100.0,TEAS_I-52_19790426-0049
I-52,19910101-0133,137.0,140.0,TEAS_I-52_19910101-0133
I-53,19680712-0028,278.0,260.0,TEAS_I-53_19680712-0028
I-53,19790702-0038,141.0,140.0,TEAS_I-53_19790702-0038
I-53,19911116-0069,131.0,120.0,TEAS_I-53_19911116-0069
I-54,19690513-0015,221.0,240.0,TEAS_I-54_19690513-0015
I-54,19760524-0046,124.0,140.0,TEAS_I-54_19760524-0046
I-54,19931118-0062,129.0,140.0,TEAS_I-54_19931118-0062
I-55,19680712-0028,273.0,260.0,TEAS_I-55_19680712-0028
I-55,19750705-0033,132.0,120.0,TEAS_I-55_19750705-0033
I-56,19570826-0012,241.0,240.0,TEAS_I-56_19570826-0012
I-56,19760524-0046,85.0,100.0,TEAS_I-56_19760524-0046
I-56,19920505-0115,103.0,100.0,TEAS_I-56_19920505-0115
